level_0,index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13,topic_distribution
10,238265,220673,1,Whatsapp,,"['sometimes', 'not', 'load', 'status']",2019-05-14,112615,sometimes i cant load status,3,sometimes i can not load status,Prince Pandey,,,"[0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.04497354497354496, 0.02645502645502644, 0.030570252792474998, 0.02645502645502644, 0.02645502645502644, 0.030570252792474994, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.040858318636096395, 0.02645502645502644, 0.02645502645502644, 0.04497354497354496, 0.03880070546737212, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.028512639623750717, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644]"
11,238267,220675,1,Whatsapp,,"['think', 'last', 'see', 'set', 'change', 'do', 'not', 'want', 'show', 'last', 'see', 'contact', 'need', 'specify', 'contact', 'select', 'work']",2019-05-14,112626,I think last seen settings should be changed..i dont want show my last seen all my contact so I need some specify contact that i select ...So Plz work on it..PLEASE,1,i think last seen setting should be changed do not want show my last seen all my contact so i need some specify contact that i select so please work on please,Shusmita Mukherjee,,,"[0.03854875283446711, 0.02443940539178634, 0.03502141597379692, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.033257747543461814, 0.02443940539178634, 0.02267573696145124, 0.02267573696145124, 0.02443940539178634, 0.02267573696145124, 0.035021415973796904, 0.029730410682791628, 0.024439405391786337, 0.02267573696145124, 0.024439405391786337, 0.05618543713781809, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.02620307382212143, 0.02267573696145124, 0.02973041068279163, 0.042076089695137306, 0.02267573696145124, 0.02267573696145124, 0.024439405391786337, 0.06147644242882338, 0.05618543713781809, 0.024439405391786337]"
12,238270,220678,1,Whatsapp,,"['horrible', 'aconsejaria', 'sadie', 'descargue', 'install', 'su', 'pendero', 'lora', 'oftener', 'number', 'le', 'vale', 'para', 'roar', 'cantione', 'conversation', 'general', 'segura', 'cualquier', 'radio', 'suede', 'estate', 'video', 'agora', 'miso', 'una', 'porqueria']",2019-05-14,112640,"HORRIBLE, no aconsejaria a nadie que la descargue ni la instale en su celular,cualquier pendejo(a) si logra obtener tu numero, ya le vale para robar tus canciones , conversaciones y en general no es segura, cualquier sadico puede estarte viendo ahora mismo. Es una porqueria",1,horrible no aconsejaria a sadie que la descargue ni la install en su celularcualquier pendero si lora oftener tu number ya le vale para roar u cantiones conversation why en general no e segura cualquier radio suede estate video agora miso e una porqueria,Javier Alvarado,,,"[0.06096158270071312, 0.022314239705544046, 0.020703933747411998, 0.020703933747411998, 0.0351966873706004, 0.020703933747411998, 0.04324821716126062, 0.020703933747411998, 0.020703933747411998, 0.022314239705544046, 0.020703933747411998, 0.020703933747411998, 0.020703933747411998, 0.023924545663676085, 0.022314239705544046, 0.05452035886818494, 0.025534851621808134, 0.0674028065332413, 0.020703933747411998, 0.020703933747411998, 0.020703933747411998, 0.031976075454336304, 0.020703933747411998, 0.020703933747411998, 0.020703933747411998, 0.020703933747411998, 0.02553485162180813, 0.038417299286864486, 0.0351966873706004, 0.03358638141246836, 0.022314239705544043, 0.020703933747411998, 0.03358638141246836, 0.020703933747411998, 0.04968944099378881]"
13,238273,220681,1,Whatsapp,,"['update', 'slow', 'weymouth', 'be', 'something', 'update', 'fill', 'cache', 'cache', 'destroy', 'space', 'ram', 'ruin', 'aim', 'have', 'ap']",2019-05-14,112651,"The updates are slow and every week/month there is something. These updates fill up my cache, it destroys the space on the ram and ruins the aim of having apps.",1,the update are slow and every weymouth there is something the update fill up my cache my cache destroys the space on the ram and ruin the aim of having aps,A Google User,,,"[0.022675736961451243, 0.022675736961451243, 0.024439405391786337, 0.06500377928949358, 0.022675736961451243, 0.02443940539178634, 0.022675736961451243, 0.022675736961451243, 0.02796674225245653, 0.022675736961451243, 0.03678508440413202, 0.022675736961451243, 0.022675736961451243, 0.022675736961451243, 0.022675736961451243, 0.022675736961451243, 0.022675736961451243, 0.024439405391786337, 0.03678508440413202, 0.03502141597379692, 0.022675736961451243, 0.022675736961451243, 0.022675736961451243, 0.03854875283446712, 0.022675736961451243, 0.022675736961451243, 0.02443940539178634, 0.024439405391786337, 0.04031242126480221, 0.031494079113126724, 0.022675736961451243, 0.07382212144116906, 0.022675736961451243, 0.03149407911312673, 0.029730410682791635]"
14,238281,220689,1,Whatsapp,,"['not', 'use', 'sticker', 'update']",2019-05-14,112670,I can't use sticker for this update,5,i can not use sticker for this update,Arshad Ibrahim,,,"[0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.04497354497354496, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.047031158142269235, 0.02645502645502644, 0.04497354497354496, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.04291593180482068, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644]"
15,238284,220692,1,Whatsapp,,"['delete', 'everyone', 'doe', 'not', 'work', 'minute']",2019-05-14,112675,Delete for everyone does not work within 7 minutes,1,delete for everyone doe not work within minute,A Google User,,,"[0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.03344671201814062, 0.025510204081632668, 0.03344671201814061, 0.041383219954648554, 0.053287981859410465, 0.02947845804988664, 0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.027494331065759655, 0.041383219954648554, 0.02749433106575965, 0.02947845804988664, 0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.029478458049886636, 0.027494331065759655, 0.025510204081632668, 0.027494331065759655, 0.025510204081632668, 0.025510204081632668, 0.025510204081632668, 0.037414965986394585]"
16,238300,220708,1,Whatsapp,,"['try', 'install', 'day', 'number', 'verification', 'try', 'write', 'name', 'say', 'connection', 'problem', 'something', 'dat', 'try', 'instal', 'lot', 'time', 'write', 'review', 'first', 'having_trouble', 'year', 'do', 'something', 'annoying']",2019-05-14,112725,when i am trying to install for 2 day after number verification and trying to write my name its say connection problem something like dat i try reinstalling lots of time and here i am writing review its the first am having trouble all these years plz do something its annoying me,1,when i am trying to install for day after number verification and trying to write my name its say connection problem something like dat i try installing lot of time and here i am writing review its the first am having trouble all these year please do something its annoying me,Kelene Hill,,,"[0.037834311806914545, 0.043922591867797345, 0.021091541639486844, 0.028701891715590344, 0.024135681669928247, 0.027179821700369644, 0.022613611654707547, 0.021091541639486844, 0.03326810176125245, 0.022613611654707547, 0.019569471624266144, 0.030223961730811044, 0.021091541639486844, 0.021091541639486844, 0.019569471624266144, 0.019569471624266144, 0.05457708197434226, 0.024135681669928247, 0.05914329202000436, 0.03174603174603175, 0.019569471624266144, 0.019569471624266144, 0.021091541639486844, 0.03479017177647314, 0.019569471624266144, 0.027179821700369644, 0.024135681669928247, 0.037834311806914545, 0.021091541639486844, 0.021091541639486844, 0.027179821700369644, 0.019569471624266144, 0.019569471624266144, 0.037834311806914545, 0.06675364209610786]"
17,238307,220715,1,Whatsapp,,"['nowadays', 'get', 'hack', 'resolve', 'issue']",2019-05-14,112737,Nowadays WhatsApp are getting hacked Please resolve this issue,1,nowadays whatsit are getting hacked please resolve this issue,Gaurav Singh,,,"[0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.04415584415584418, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.05829725829725832, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.04415584415584418, 0.025974025974025983, 0.03809523809523811, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.03001443001443003, 0.03001443001443002, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983]"
18,238334,220742,1,Whatsapp,,"['set', 'relate', 'notification', 'control', 'work', 'fine', 'phone', 'get', 'upgrade', 'android', 'update', 'android', 'notification', 'set', 'doe', 'not', 'seem', 'work', 'whenever', 'set', 'low', 'priority', 'notification', 'phone', 'setting', 'get', 'automatically', 'change', 'high_priority', 'next', 'incoming', 'message', 'happen', 'watson', 'aps', 'work', 'fine', 'could', 'look', 'soon_possible', 'fix']",2019-05-14,112849,"All the setting related to notification control was working fine until my phone got upgraded to Android O, but after updating it to Android O, notification settings doesn't seem to work. Whenever I set as low priority for the notification in the phone settings, it gets automatically changed to high priority for the next incoming message. This happens only with watsapp and all the other apps work fine. Could you look into this asap and fix it?",3,all the setting related to notification control was working fine until my phone got upgraded to android o but after updating it to android o notification setting doe not seem to work whenever i set a low priority for the notification in the phone setting it get automatically changed to high priority for the next incoming message this happens only with watson and all the other aps work fine could you look into this a soon a possible and fix this,Charles Augustin,,,"[0.017421602787456445, 0.04045683313975998, 0.02961672473867595, 0.03368176538908246, 0.018776616337591947, 0.08246225319396053, 0.018776616337591947, 0.017421602787456445, 0.017421602787456445, 0.03368176538908247, 0.04316686024003099, 0.017421602787456445, 0.022841656987998452, 0.045876887340301986, 0.025551684088269452, 0.04181184668989548, 0.02148664343786295, 0.039101819589624484, 0.017421602787456445, 0.018776616337591947, 0.02961672473867596, 0.03910181958962448, 0.017421602787456445, 0.01877661633759195, 0.04045683313975998, 0.03368176538908247, 0.01877661633759195, 0.022841656987998452, 0.02961672473867595, 0.02961672473867596, 0.02555168408826946, 0.030971738288811466, 0.02555168408826946, 0.017421602787456445, 0.017421602787456445]"
19,238337,220745,1,Whatsapp,,"['previously', 'someone', 'remove', 'someone', 'profile', 'picture', 'someone', 'pic', 'be', 'save', 'contact', 'place', 'someone', 'pic', 'contact', 'appear', 'update', 'be', 'not', 'happen', 'pls', 'fix']",2019-05-14,112855,previously if someone remove its profile picture and his pic is saved in my contacts then at the place of his dp...the pic which was in my contacts appears but after the update it is not happening.... plss plss fix it...,4,previously if someone remove someone profile picture and someone pic is saved in my contact then at the place of someone the pic which was in my contact appears but after the update it is not happening pls pls fix it,A Google User,,,"[0.023419203747072605, 0.03981264637002343, 0.023419203747072605, 0.023419203747072605, 0.03981264637002343, 0.02524069737184492, 0.023419203747072605, 0.023419203747072605, 0.023419203747072605, 0.03981264637002343, 0.023419203747072605, 0.023419203747072605, 0.03616965912047879, 0.023419203747072605, 0.023419203747072605, 0.023419203747072605, 0.023419203747072605, 0.023419203747072605, 0.023419203747072605, 0.023419203747072605, 0.023419203747072605, 0.03981264637002343, 0.023419203747072605, 0.023419203747072605, 0.023419203747072605, 0.023419203747072605, 0.023419203747072605, 0.023419203747072605, 0.02888368462138955, 0.03981264637002343, 0.03981264637002343, 0.054384595368201956, 0.054384595368201956, 0.023419203747072605, 0.023419203747072605]"
20,238346,220754,1,Whatsapp,,"['suddenly', 'not', 'work', 'show', 'have', 'be', 'ban', 'watson', 'have', 'violate', 'rule', 'know', 'rule', 'give', 'term', 'condition', 'use', 'be', 'happen', 'happen', 'friend']",2019-05-14,112888,Hello Whatsap Why my whatsap are suddenly not working and showing some ussues like i have been ban from watsap as i have violated ruless....As per i know no rules are given in terms and conditions to use whatsap ...So why is this happening since 2...to 3 times....even it happens in my friends whatsap too😤😤😤,5,hello whatsit why my whatsit are suddenly not working and showing some us like i have been ban from watson a i have violated rule per i know no rule are given in term and condition to use whatsit so why is this happening since to timeseven it happens in my friend whatsit too,Mighty Abuu,,,"[0.021321961620469086, 0.021321961620469086, 0.021321961620469086, 0.022980336413172237, 0.032930585169391145, 0.021321961620469086, 0.021321961620469086, 0.02298033641317224, 0.02298033641317224, 0.021321961620469086, 0.06278133143804789, 0.021321961620469086, 0.037905709547500596, 0.041222459132906904, 0.02298033641317224, 0.03624733475479745, 0.03624733475479745, 0.021321961620469086, 0.021321961620469086, 0.021321961620469086, 0.021321961620469086, 0.05448945747453213, 0.021321961620469086, 0.03624733475479744, 0.021321961620469086, 0.02629708599857854, 0.03624733475479745, 0.0379057095475006, 0.024638711205875387, 0.03624733475479745, 0.02298033641317224, 0.021321961620469086, 0.04453920871831321, 0.021321961620469086, 0.021321961620469086]"
21,238352,220760,1,Whatsapp,,"['not', 'send', 'mug', 'people', 'seem', 'live', 'afghanistan', 'not', 'update', 'long', 'video', 'not', 'even', 'send', 'long', 'video']",2019-05-14,112906,we can not send msgs to more than five people. it seems as if we live in Afghanistan. we can not update longer video. i can't even send long videos.,2,we can not send mug to more than five people it seems a if we live in afghanistan we can not update longer video i can not even send long video,Vimal Kumar,,,"[0.028417818740399392, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.04992319508448542, 0.023041474654377885, 0.026625704045058894, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.057091653865847435, 0.023041474654377885, 0.039170506912442414, 0.023041474654377885, 0.02662570404505889, 0.026625704045058894, 0.028417818740399396, 0.023041474654377885, 0.03737839221710191, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.02483358934971839, 0.024833589349718386, 0.023041474654377885, 0.023041474654377885, 0.06784434203789046, 0.023041474654377885, 0.023041474654377885, 0.05350742447516644, 0.024833589349718386, 0.023041474654377885, 0.023041474654377885]"
22,238354,220762,1,Whatsapp,,"['hate', 'update', 'stupid']",2019-05-14,112910,HATE... THIS UPDATE STUPID.🖕🖕🖕🖕,1,hate this update stupid,nouman maqsood,,,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.04456654456654458, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]"
23,238359,220767,1,Whatsapp,,"['unable', 'download', 'application']",2019-05-14,112923,unable to download app.,1,unable to download application,amanda cloete,,,"[0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.0416292303084756, 0.026954177897574125, 0.045822102425876025, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.035339922132374975, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.03743635819107517, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.03114705001497455, 0.026954177897574125, 0.026954177897574125]"
24,238361,220769,1,Whatsapp,,"['do', 'last', 'update', 'always', 'get', 'message', 'have', 'deinstall', 'be', 'annoy', 'be', 'not', 'solve', 'would', 'have', 'search', 'communication', 'application']",2019-05-14,112930,"I'm done with WhatsApp..... From the last three updates... I always get this message that I have to reinstall this.. It is sooo annoying.... If this isn't solved ,I would have to search for another communication app.",3,i am done with whatsit from the last three update i always get this message that i have to deinstall this it is so annoying if this is not solved i would have to search for another communication application,Hisham Salik,,,"[0.021645021645021648, 0.02332852332852333, 0.03342953342953344, 0.03174603174603176, 0.021645021645021648, 0.023328523328523334, 0.0266955266955267, 0.030062530062530072, 0.021645021645021648, 0.021645021645021648, 0.030062530062530065, 0.021645021645021648, 0.033429533429533434, 0.02332852332852333, 0.021645021645021648, 0.041847041847041855, 0.021645021645021648, 0.03174603174603176, 0.02332852332852333, 0.0266955266955267, 0.02332852332852333, 0.02332852332852333, 0.03342953342953343, 0.03848003848003848, 0.021645021645021648, 0.021645021645021648, 0.035113035113035124, 0.05699855699855702, 0.0266955266955267, 0.060365560365560386, 0.021645021645021648, 0.0367965367965368, 0.025012025012025013, 0.021645021645021648, 0.023328523328523334]"
