level_0,index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13,topic_distribution
10,95644,78052,1,Whatsapp,,"['freeze', 'restart', 'phone', 'time', 'day', 'be', 'application', 'doe', 'not', 'send', 'message', 'know', 'use', 'work', 'purpose', 'look', 'much', 'well', 'weak', 'disaster']",2019-03-06,66328,it freezes I restart my phone 17 to 18 times a day as what's app Does not send messages I know we are using it for work purpose but please look into ... It was much better before since a weak disaster,1,it freeze i restart my phone to time a day a what is application doe not send message i know we are using it for work purpose but please look into it was much better before since a weak disaster,Liesha motwani,,,"[0.03052503052503053, 0.03394383394383394, 0.021978021978021983, 0.02368742368742369, 0.021978021978021983, 0.021978021978021983, 0.021978021978021983, 0.02368742368742369, 0.02368742368742369, 0.03223443223443224, 0.021978021978021983, 0.021978021978021983, 0.032234432234432245, 0.021978021978021983, 0.025396825396825404, 0.02368742368742369, 0.02368742368742369, 0.03736263736263737, 0.021978021978021983, 0.03736263736263737, 0.030525030525030528, 0.05103785103785106, 0.027106227106227114, 0.0578754578754579, 0.03907203907203908, 0.021978021978021983, 0.021978021978021983, 0.03736263736263737, 0.03565323565323566, 0.03565323565323565, 0.027106227106227114, 0.021978021978021983, 0.021978021978021983, 0.021978021978021983, 0.025396825396825404]"
11,95645,78053,1,Whatsapp,,"['use', 'nokia', 'mobile', 'suck', 'have', 'be', 'complain', 'issue', 'status', 'recording', 'unload', 'low', 'light', 'last', 'month', 'support', 'go', 'vain']",2019-03-08,66330,using whatsapp on nokia mobiles just sucks. i have been comolaining the issue of my status recording and uploading in low light from last 3 months to whatsapp support. but all went in vain.,1,using whatsit on nokia mobile just suck i have been complaining the issue of my status recording and unloading in low light from last month to whatsit support but all went in vain,Short_But_Meaningful,,,"[0.0253968253968254, 0.02197802197802198, 0.039072039072039065, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.02881562881562882, 0.03565323565323566, 0.023687423687423687, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.03736263736263736, 0.023687423687423687, 0.03736263736263737, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.03565323565323566, 0.02197802197802198, 0.02197802197802198, 0.03736263736263737, 0.02197802197802198, 0.02197802197802198, 0.023687423687423687, 0.07155067155067157, 0.02197802197802198, 0.030525030525030528, 0.05787545787545788, 0.05274725274725276]"
12,95646,78054,1,Whatsapp,,"['horrible', 'recipe', 'ni', 'sue', 'bandar', 'message', 'estate', 'nada', 'tango', 'wife', 'casa']",2019-03-01,66331,"horrible no recibo ni puedo mandar mensajes, estados nada y tengo wifi en casa",1,horrible no recipe ni sued bandar message estate nada why tango wife en casa,Jair Anel :V,,,"[0.024213075060532684, 0.024213075060532684, 0.02609631423190745, 0.04116222760290557, 0.039278988431530805, 0.024213075060532684, 0.026096314231907447, 0.024213075060532684, 0.02609631423190745, 0.024213075060532684, 0.024213075060532684, 0.033629270917406515, 0.05246166263115415, 0.024213075060532684, 0.024213075060532684, 0.024213075060532684, 0.035512510088781264, 0.024213075060532684, 0.024213075060532684, 0.024213075060532684, 0.026096314231907447, 0.024213075060532684, 0.024213075060532684, 0.024213075060532684, 0.02609631423190745, 0.024213075060532684, 0.02609631423190745, 0.04116222760290557, 0.03739574926015602, 0.024213075060532684, 0.03739574926015602, 0.024213075060532684, 0.029862792574656977, 0.024213075060532684, 0.035512510088781264]"
13,95650,78058,1,Whatsapp,,"['try', 'add', 'back', 'delete', 'everyone', 'instead', 'delete']",2019-03-02,66336,please try and add back delete for everyone instead of delete for me,2,please try and add back delete for everyone instead of delete for me,,,,"[0.026455026455026443, 0.02851263962375072, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.040858318636096395, 0.026455026455026443, 0.026455026455026443, 0.0408583186360964, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.02851263962375072, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.030570252792475, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.06349206349206349, 0.026455026455026443]"
14,95652,78060,1,Whatsapp,,"['not', 'remove', 'limit', 'message']",2019-03-02,66338,why are you not removing limit message till 5.,1,why are you not removing limit message till,Madhukar Choudhary,,,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482]"
15,95658,78066,1,Whatsapp,,"['not', 'verify', 'say', 'not', 'update', 'version', 'say', 'not', 'update', 'version', 'update']",2019-03-09,66344,not verifying my no. by saying not updated version. but its updated,1,not verifying my no by saying not updated version but saying not updated version updated,Sonia Butola,,,"[0.023419203747072594, 0.07077803799115276, 0.023419203747072594, 0.025240697371844912, 0.059849076242518874, 0.04345563361956804, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.02524069737184491, 0.023419203747072594, 0.04163413999479573, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.027062190996617223, 0.023419203747072594, 0.02524069737184491, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.07077803799115276, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.025240697371844912, 0.023419203747072594]"
16,95665,78073,1,Whatsapp,,"['not', 'login', 'account', 'help']",2019-03-07,66351,I cannot login in my account please help,3,i can not login in my account please help,,,,"[0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.05526161081716636, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.04291593180482068, 0.030570252792475, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.040858318636096395, 0.026455026455026447, 0.026455026455026447, 0.032627865961199286, 0.026455026455026447, 0.026455026455026447]"
17,95668,78076,1,Whatsapp,,"['unable', 'send', 'message']",2019-03-08,66354,unable to send messages.,1,unable to send message,Surya Chandrasekar,,,"[0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.04242979242979245, 0.02747252747252748, 0.02960927960927962, 0.04884004884004887, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748]"
18,95674,78082,1,Whatsapp,,"['recent', 'update', 'video', 'not', 'send', 'other', 'solve', 'problem']",2019-03-03,66362,after recent update my videos are not being sent to others.. please solve this problem,5,after recent update my video are not being sent to others please solve this problem,Jawad Butt,,,"[0.024630541871921173, 0.041871921182265986, 0.026546250684181708, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.053366174055829205, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.026546250684181705, 0.024630541871921173, 0.024630541871921173, 0.04378762999452654, 0.024630541871921173, 0.024630541871921173, 0.026546250684181705, 0.03037766830870278, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.03995621237000546, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.04187192118226599, 0.03995621237000545, 0.026546250684181705, 0.024630541871921173, 0.036124794745484384, 0.024630541871921173]"
19,95676,78084,1,Whatsapp,,"['not', 'send', 'massage', 'time']",2019-03-03,66364,I can not send ten massaged at the same time.,5,i can not send ten massaged at the same time,,,,"[0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.044973544973544964, 0.026455026455026447, 0.044973544973544964, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.03674309229864785, 0.026455026455026447, 0.026455026455026447, 0.040858318636096395, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.032627865961199286]"
20,95677,78085,1,Whatsapp,,"['sometimes', 'be', 'not', 'good']",2019-03-02,66366,sometimes it's not good,1,sometimes it is not good,tijo mathew,,,"[0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]"
21,95693,78101,1,Whatsapp,,"['dp', 'not', 'crop', 'system']",2019-03-06,66383,dp should not be crop system,3,dp should not be crop system,sara Ali,,,"[0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.029050613956274337, 0.029050613956274337, 0.02695417789757413, 0.02695417789757413, 0.029050613956274337, 0.02695417789757413, 0.045822102425876025, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.03743635819107518, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.04791853848457623, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413]"
22,95697,78105,1,Whatsapp,,"['vedic', 'call', 'sound', 'be', 'not', 'clear']",2019-03-05,66389,vedio call and sound is not clear,4,vedic call and sound is not clear,,,,"[0.025974025974025983, 0.03203463203463205, 0.025974025974025983, 0.025974025974025983, 0.036075036075036086, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.038095238095238106, 0.03203463203463205, 0.027994227994228005, 0.027994227994228002, 0.025974025974025983, 0.03001443001443003, 0.03809523809523811, 0.025974025974025983, 0.025974025974025983, 0.04415584415584418, 0.025974025974025983, 0.027994227994228002, 0.025974025974025983, 0.03809523809523811, 0.027994227994228002, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005]"
23,95698,78106,1,Whatsapp,,"['video', 'call', 'be', 'not', 'clean', 'talk']",2019-03-04,66391,video call is not clean talk,1,video call is not clean talk,,,,"[0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.04291593180482069, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.030570252792475, 0.04703115814226925, 0.026455026455026447, 0.026455026455026447, 0.040858318636096395, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.040858318636096395, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.028512639623750724]"
24,95702,78110,1,Whatsapp,,"['not', 'work', 'day']",2019-03-04,66395,its not working now days,1,its not working now day,mudulo reagan,,,"[0.026954177897574125, 0.03743635819107517, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.0416292303084756, 0.026954177897574125, 0.03114705001497455, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.045822102425876025, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.03533992213237497]"
25,95706,78114,1,Whatsapp,,"['low', 'security', 'ap', 'open', 'lock']",2019-03-03,66399,low security apps open in lock,2,low security aps open in lock,Hafsa Asghar,,,"[0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.03203463203463205, 0.030014430014430032, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.04213564213564215, 0.027994227994228005, 0.025974025974025986, 0.025974025974025986, 0.04011544011544014, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.027994227994228005, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.04011544011544014, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.05829725829725833]"
26,95710,78118,1,Whatsapp,,"['sound', 'be', 'not', 'clear', 'do', 'video', 'call']",2019-03-06,66403,sound is not clear while doing video calls,3,sound is not clear while doing video call,,,,"[0.025510204081632633, 0.03344671201814056, 0.025510204081632633, 0.025510204081632633, 0.03543083900226754, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.041383219954648505, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.045351473922902466, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.045351473922902466, 0.025510204081632633, 0.025510204081632633, 0.04336734693877548, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.04138321995464849, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633]"
